Nível;Cód.;Unidade da Federação e Município;Grupo de idade;Total
UF;11;Rondônia;Total;108535
UF;12;Acre;Total;58983
UF;13;Amazonas;Total;266814
UF;14;Roraima;Total;34316
UF;15;Pará;Total;577865
UF;16;Amapá;Total;50354
UF;17;Tocantins;Total;101554
UF;21;Maranhão;Total;536103
UF;22;Piauí;Total;297694
UF;23;Ceará;Total;766728
UF;24;Rio Grande do Norte;Total;285304
UF;25;Paraíba;Total;334563
UF;26;Pernambuco;Total;788647
UF;27;Alagoas;Total;291546
UF;28;Sergipe;Total;186218
UF;29;Bahia;Total;1093719
UF;31;Minas Gerais;Total;1472199
UF;32;Espírito Santo;Total;268820
UF;33;Rio de Janeiro;Total;1160784
UF;35;São Paulo;Total;2755978
UF;41;Paraná;Total;715143
UF;42;Santa Catarina;Total;447842
UF;43;Rio Grande do Sul;Total;772077
UF;50;Mato Grosso do Sul;Total;174859
UF;51;Mato Grosso;Total;202822
UF;52;Goiás;Total;482007
UF;53;Distrito Federal;Total;169396
MU;1100015;Alta Floresta D'Oeste (RO);Total;1432
MU;1100023;Ariquemes (RO);Total;5956
MU;1100031;Cabixi (RO);Total;292
MU;1100049;Cacoal (RO);Total;6110
MU;1100056;Cerejeiras (RO);Total;830
MU;1100064;Colorado do Oeste (RO);Total;1039
MU;1100072;Corumbiara (RO);Total;267
MU;1100080;Costa Marques (RO);Total;1007
MU;1100098;Espigão D'Oeste (RO);Total;2017
MU;1100106;Guajará-Mirim (RO);Total;2510
MU;1100114;Jaru (RO);Total;3280
MU;1100122;Ji-Paraná (RO);Total;8103
MU;1100130;Machadinho D'Oeste (RO);Total;2763
MU;1100148;Nova Brasilândia D'Oeste (RO);Total;1030
MU;1100155;Ouro Preto do Oeste (RO);Total;2046
MU;1100189;Pimenta Bueno (RO);Total;2596
MU;1100205;Porto Velho (RO);Total;33263
MU;1100254;Presidente Médici (RO);Total;914
MU;1100262;Rio Crespo (RO);Total;284
MU;1100288;Rolim de Moura (RO);Total;4037
MU;1100296;Santa Luzia D'Oeste (RO);Total;677
MU;1100304;Vilhena (RO);Total;5590
MU;1100320;São Miguel do Guaporé (RO);Total;1565
MU;1100338;Nova Mamoré (RO);Total;2050
MU;1100346;Alvorada D'Oeste (RO);Total;859
MU;1100379;Alto Alegre dos Parecis (RO);Total;667
MU;1100403;Alto Paraíso (RO);Total;1480
MU;1100452;Buritis (RO);Total;2336
MU;1100502;Novo Horizonte do Oeste (RO);Total;517
MU;1100601;Cacaulândia (RO);Total;293
MU;1100700;Campo Novo de Rondônia (RO);Total;467
MU;1100809;Candeias do Jamari (RO);Total;1853
MU;1100908;Castanheiras (RO);Total;273
MU;1100924;Chupinguaia (RO);Total;410
MU;1100940;Cujubim (RO);Total;935
MU;1101005;Governador Jorge Teixeira (RO);Total;400
MU;1101104;Itapuã do Oeste (RO);Total;665
MU;1101203;Ministro Andreazza (RO);Total;361
MU;1101302;Mirante da Serra (RO);Total;585
MU;1101401;Monte Negro (RO);Total;745
MU;1101435;Nova União (RO);Total;475
MU;1101450;Parecis (RO);Total;211
MU;1101468;Pimenteiras do Oeste (RO);Total;129
MU;1101476;Primavera de Rondônia (RO);Total;306
MU;1101484;São Felipe D'Oeste (RO);Total;504
MU;1101492;São Francisco do Guaporé (RO);Total;1261
MU;1101500;Seringueiras (RO);Total;672
MU;1101559;Teixeirópolis (RO);Total;345
MU;1101609;Theobroma (RO);Total;497
MU;1101708;Urupá (RO);Total;537
MU;1101757;Vale do Anari (RO);Total;619
MU;1101807;Vale do Paraíso (RO);Total;474
MU;1200013;Acrelândia (AC);Total;905
MU;1200054;Assis Brasil (AC);Total;513
MU;1200104;Brasiléia (AC);Total;2255
MU;1200138;Bujari (AC);Total;1066
MU;1200179;Capixaba (AC);Total;508
MU;1200203;Cruzeiro do Sul (AC);Total;5628
MU;1200252;Epitaciolândia (AC);Total;1238
MU;1200302;Feijó (AC);Total;2736
MU;1200328;Jordão (AC);Total;457
MU;1200336;Mâncio Lima (AC);Total;1244
MU;1200344;Manoel Urbano (AC);Total;804
MU;1200351;Marechal Thaumaturgo (AC);Total;1015
MU;1200385;Plácido de Castro (AC);Total;1634
MU;1200393;Porto Walter (AC);Total;762
MU;1200401;Rio Branco (AC);Total;27085
MU;1200427;Rodrigues Alves (AC);Total;1158
MU;1200435;Santa Rosa do Purus (AC);Total;215
MU;1200450;Senador Guiomard (AC);Total;1214
MU;1200500;Sena Madureira (AC);Total;2645
MU;1200609;Tarauacá (AC);Total;3052
MU;1200708;Xapuri (AC);Total;1407
MU;1200807;Porto Acre (AC);Total;1443
MU;1300029;Alvarães (AM);Total;541
MU;1300060;Amaturá (AM);Total;452
MU;1300086;Anamã (AM);Total;708
MU;1300102;Anori (AM);Total;907
MU;1300144;Apuí (AM);Total;1238
MU;1300201;Atalaia do Norte (AM);Total;1014
MU;1300300;Autazes (AM);Total;2562
MU;1300409;Barcelos (AM);Total;618
MU;1300508;Barreirinha (AM);Total;1382
MU;1300607;Benjamin Constant (AM);Total;1715
MU;1300631;Beruri (AM);Total;1112
MU;1300680;Boa Vista do Ramos (AM);Total;765
MU;1300706;Boca do Acre (AM);Total;2406
MU;1300805;Borba (AM);Total;2046
MU;1300839;Caapiranga (AM);Total;936
MU;1300904;Canutama (AM);Total;1748
MU;1301001;Carauari (AM);Total;2125
MU;1301100;Careiro (AM);Total;3331
MU;1301159;Careiro da Várzea (AM);Total;1605
MU;1301209;Coari (AM);Total;4388
MU;1301308;Codajás (AM);Total;1470
MU;1301407;Eirunepé (AM);Total;2259
MU;1301506;Envira (AM);Total;1508
MU;1301605;Fonte Boa (AM);Total;1357
MU;1301654;Guajará (AM);Total;1018
MU;1301704;Humaitá (AM);Total;3533
MU;1301803;Ipixuna (AM);Total;1170
MU;1301852;Iranduba (AM);Total;4777
MU;1301902;Itacoatiara (AM);Total;7022
MU;1301951;Itamarati (AM);Total;719
MU;1302009;Itapiranga (AM);Total;925
MU;1302108;Japurá (AM);Total;436
MU;1302207;Juruá (AM);Total;1273
MU;1302306;Jutaí (AM);Total;1088
MU;1302405;Lábrea (AM);Total;3085
MU;1302504;Manacapuru (AM);Total;8320
MU;1302553;Manaquiri (AM);Total;1268
MU;1302603;Manaus (AM);Total;147873
MU;1302702;Manicoré (AM);Total;2422
MU;1302801;Maraã (AM);Total;1219
MU;1302900;Maués (AM);Total;3153
MU;1303007;Nhamundá (AM);Total;906
MU;1303106;Nova Olinda do Norte (AM);Total;2259
MU;1303205;Novo Airão (AM);Total;1695
MU;1303304;Novo Aripuanã (AM);Total;1753
MU;1303403;Parintins (AM);Total;6026
MU;1303502;Pauini (AM);Total;1254
MU;1303536;Presidente Figueiredo (AM);Total;2457
MU;1303569;Rio Preto da Eva (AM);Total;2484
MU;1303601;Santa Isabel do Rio Negro (AM);Total;507
MU;1303700;Santo Antônio do Içá (AM);Total;1174
MU;1303809;São Gabriel da Cachoeira (AM);Total;1989
MU;1303908;São Paulo de Olivença (AM);Total;1074
MU;1303957;São Sebastião do Uatumã (AM);Total;701
MU;1304005;Silves (AM);Total;664
MU;1304062;Tabatinga (AM);Total;3101
MU;1304104;Tapauá (AM);Total;1412
MU;1304203;Tefé (AM);Total;6030
MU;1304237;Tonantins (AM);Total;1015
MU;1304260;Uarini (AM);Total;796
MU;1304302;Urucará (AM);Total;1124
MU;1304401;Urucurituba (AM);Total;900
MU;1400027;Amajari (RR);Total;421
MU;1400050;Alto Alegre (RR);Total;800
MU;1400100;Boa Vista (RR);Total;23602
MU;1400159;Bonfim (RR);Total;488
MU;1400175;Cantá (RR);Total;997
MU;1400209;Caracaraí (RR);Total;1576
MU;1400233;Caroebe (RR);Total;555
MU;1400282;Iracema (RR);Total;701
MU;1400308;Mucajaí (RR);Total;967
MU;1400407;Normandia (RR);Total;439
MU;1400456;Pacaraima (RR);Total;898
MU;1400472;Rorainópolis (RR);Total;1627
MU;1400506;São João da Baliza (RR);Total;692
MU;1400605;São Luiz (RR);Total;342
MU;1400704;Uiramutã (RR);Total;212
MU;1500107;Abaetetuba (PA);Total;14524
MU;1500131;Abel Figueiredo (PA);Total;643
MU;1500206;Acará (PA);Total;3963
MU;1500305;Afuá (PA);Total;2402
MU;1500347;Água Azul do Norte (PA);Total;731
MU;1500404;Alenquer (PA);Total;3771
MU;1500503;Almeirim (PA);Total;2167
MU;1500602;Altamira (PA);Total;8665
MU;1500701;Anajás (PA);Total;1419
MU;1500800;Ananindeua (PA);Total;36914
MU;1500859;Anapu (PA);Total;1857
MU;1500909;Augusto Corrêa (PA);Total;3272
MU;1500958;Aurora do Pará (PA);Total;1741
MU;1501006;Aveiro (PA);Total;947
MU;1501105;Bagre (PA);Total;1199
MU;1501204;Baião (PA);Total;2313
MU;1501253;Bannach (PA);Total;208
MU;1501303;Barcarena (PA);Total;8941
MU;1501402;Belém (PA);Total;108490
MU;1501451;Belterra (PA);Total;1267
MU;1501501;Benevides (PA);Total;5176
MU;1501576;Bom Jesus do Tocantins (PA);Total;1588
MU;1501600;Bonito (PA);Total;1100
MU;1501709;Bragança (PA);Total;9965
MU;1501725;Brasil Novo (PA);Total;1075
MU;1501758;Brejo Grande do Araguaia (PA);Total;526
MU;1501782;Breu Branco (PA);Total;3541
MU;1501808;Breves (PA);Total;8764
MU;1501907;Bujaru (PA);Total;2167
MU;1501956;Cachoeira do Piriá (PA);Total;1477
MU;1502004;Cachoeira do Arari (PA);Total;1420
MU;1502103;Cametá (PA);Total;10774
MU;1502152;Canaã dos Carajás (PA);Total;3695
MU;1502202;Capanema (PA);Total;6112
MU;1502301;Capitão Poço (PA);Total;3917
MU;1502400;Castanhal (PA);Total;14538
MU;1502509;Chaves (PA);Total;870
MU;1502608;Colares (PA);Total;1124
MU;1502707;Conceição do Araguaia (PA);Total;3475
MU;1502756;Concórdia do Pará (PA);Total;2794
MU;1502764;Cumaru do Norte (PA);Total;766
MU;1502772;Curionópolis (PA);Total;1335
MU;1502806;Curralinho (PA);Total;2473
MU;1502855;Curuá (PA);Total;566
MU;1502905;Curuçá (PA);Total;3018
MU;1502939;Dom Eliseu (PA);Total;3572
MU;1502954;Eldorado do Carajás (PA);Total;1782
MU;1503002;Faro (PA);Total;375
MU;1503044;Floresta do Araguaia (PA);Total;1425
MU;1503077;Garrafão do Norte (PA);Total;1682
MU;1503093;Goianésia do Pará (PA);Total;1969
MU;1503101;Gurupá (PA);Total;1996
MU;1503200;Igarapé-Açu (PA);Total;2731
MU;1503309;Igarapé-Miri (PA);Total;5633
MU;1503408;Inhangapi (PA);Total;717
MU;1503457;Ipixuna do Pará (PA);Total;1661
MU;1503507;Irituia (PA);Total;3211
MU;1503606;Itaituba (PA);Total;6457
MU;1503705;Itupiranga (PA);Total;2398
MU;1503754;Jacareacanga (PA);Total;988
MU;1503804;Jacundá (PA);Total;2840
MU;1503903;Juruti (PA);Total;2648
MU;1504000;Limoeiro do Ajuru (PA);Total;2110
MU;1504059;Mãe do Rio (PA);Total;2632
MU;1504109;Magalhães Barata (PA);Total;548
MU;1504208;Marabá (PA);Total;16732
MU;1504307;Maracanã (PA);Total;2032
MU;1504406;Marapanim (PA);Total;2198
MU;1504422;Marituba (PA);Total;8873
MU;1504455;Medicilândia (PA);Total;2017
MU;1504505;Melgaço (PA);Total;1499
MU;1504604;Mocajuba (PA);Total;2691
MU;1504703;Moju (PA);Total;5794
MU;1504752;Mojuí dos Campos (PA);Total;1472
MU;1504802;Monte Alegre (PA);Total;4407
MU;1504901;Muaná (PA);Total;3755
MU;1504950;Nova Esperança do Piriá (PA);Total;1477
MU;1504976;Nova Ipixuna (PA);Total;944
MU;1505007;Nova Timboteua (PA);Total;1087
MU;1505031;Novo Progresso (PA);Total;1380
MU;1505064;Novo Repartimento (PA);Total;3963
MU;1505106;Óbidos (PA);Total;3160
MU;1505205;Oeiras do Pará (PA);Total;2013
MU;1505304;Oriximiná (PA);Total;4220
MU;1505403;Ourém (PA);Total;1430
MU;1505437;Ourilândia do Norte (PA);Total;1565
MU;1505486;Pacajá (PA);Total;2671
MU;1505494;Palestina do Pará (PA);Total;428
MU;1505502;Paragominas (PA);Total;5953
MU;1505536;Parauapebas (PA);Total;12657
MU;1505551;Pau D'Arco (PA);Total;573
MU;1505601;Peixe-Boi (PA);Total;690
MU;1505635;Piçarra (PA);Total;657
MU;1505650;Placas (PA);Total;846
MU;1505700;Ponta de Pedras (PA);Total;1900
MU;1505809;Portel (PA);Total;4466
MU;1505908;Porto de Moz (PA);Total;2310
MU;1506005;Prainha (PA);Total;1573
MU;1506104;Primavera (PA);Total;873
