cod_ibge,nome_municipio,uf_sigla,uf_nome,uf_cod_ibge,microrregiao_id,microrregiao_nome,mesorregiao_id,mesorregiao_nome,regiao_id,regiao_sigla,regiao_nome,fonte_dados
1100015,Alta Floresta D'Oeste,RO,Rondônia,11,11006,Cacoal,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100023,Ariquemes,RO,Rondônia,11,11003,Ariquemes,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100031,Cabixi,RO,Rondônia,11,11008,Colorado do Oeste,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100049,Cacoal,RO,Rondônia,11,11006,Cacoal,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100056,Cerejeiras,RO,Rondônia,11,11008,Colorado do Oeste,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100064,Colorado do Oeste,RO,Rondônia,11,11008,Colorado do Oeste,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100072,Corumbiara,RO,Rondônia,11,11008,Colorado do Oeste,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100080,Costa Marques,RO,Rondônia,11,11002,Guajará-Mirim,1101,Madeira-Guaporé,1,N,Norte,IBGE_API
1100098,Espigão D'Oeste,RO,Rondônia,11,11006,Cacoal,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100106,Guajará-Mirim,RO,Rondônia,11,11002,Guajará-Mirim,1101,Madeira-Guaporé,1,N,Norte,IBGE_API
1100114,Jaru,RO,Rondônia,11,11004,Ji-Paraná,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100122,Ji-Paraná,RO,Rondônia,11,11004,Ji-Paraná,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100130,Machadinho D'Oeste,RO,Rondônia,11,11003,Ariquemes,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100148,Nova Brasilândia D'Oeste,RO,Rondônia,11,11005,Alvorada D'Oeste,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100155,Ouro Preto do Oeste,RO,Rondônia,11,11004,Ji-Paraná,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100189,Pimenta Bueno,RO,Rondônia,11,11007,Vilhena,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100205,Porto Velho,RO,Rondônia,11,11001,Porto Velho,1101,Madeira-Guaporé,1,N,Norte,IBGE_API
1100254,Presidente Médici,RO,Rondônia,11,11004,Ji-Paraná,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100262,Rio Crespo,RO,Rondônia,11,11003,Ariquemes,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100288,Rolim de Moura,RO,Rondônia,11,11006,Cacoal,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100296,Santa Luzia D'Oeste,RO,Rondônia,11,11006,Cacoal,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100304,Vilhena,RO,Rondônia,11,11007,Vilhena,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100320,São Miguel do Guaporé,RO,Rondônia,11,11005,Alvorada D'Oeste,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100338,Nova Mamoré,RO,Rondônia,11,11001,Porto Velho,1101,Madeira-Guaporé,1,N,Norte,IBGE_API
1100346,Alvorada D'Oeste,RO,Rondônia,11,11005,Alvorada D'Oeste,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100379,Alto Alegre dos Parecis,RO,Rondônia,11,11006,Cacoal,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100403,Alto Paraíso,RO,Rondônia,11,11003,Ariquemes,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100452,Buritis,RO,Rondônia,11,11001,Porto Velho,1101,Madeira-Guaporé,1,N,Norte,IBGE_API
1100502,Novo Horizonte do Oeste,RO,Rondônia,11,11006,Cacoal,1102,Leste Rondoniense,1,N,Norte,IBGE_API
1100601,Cacaulândia,RO,Rondônia,11,11003,Ariquemes,1102,Leste Rondoniense,1,N,Norte,IBGE_API
