ente_federativo;nome_pdf_pk;perc_cotas_negras;perc_cotas_indigenas;perc_cotas_pcd;vagas_totais;valor_total;is_novo;tipo_ente
ACRE;ACRE_BOLSA_112024.pdf;0.26;0.12;0.12;42;696000.0;False;ESTADO
ACRE;ACRE_CULTURAVIVA_012025.pdf;0.2857;0.1429;0.1429;42;1470000.0;False;ESTADO
ACRE;ACRE_CULTURAVIVA_122024.pdf;0.1667;0.1667;0.1667;30;1672276.38;False;ESTADO
ACRE;ACRE_CULTURAVIVA_132024.pdf;;;;1;418069.1;False;ESTADO
ACRE;ACRE_FOMENTO_062024.pdf;0.25;0.18;0.18;122;4100000.0;False;ESTADO
ACRE;ACRE_FOMENTO_072024.pdf;0.278;0.111;0.056;18;300000.0;False;ESTADO
ACRE;ACRE_FOMENTO_082024.pdf;0.5;;;10;200000.0;False;ESTADO
ACRE;ACRE_FOMENTO_092024.pdf;0.307;0.1538;0.0769;13;2500000.0;False;ESTADO
ACRE;ACRE_PRÊMIO_142024.pdf;0.2;0.2;0.2;60;900000.0;False;ESTADO
ACRE;ACRE_PRÊMIO_152024.pdf;;;0.15;80;1200000.0;False;ESTADO
ACRE;ACRE_SUBSÍDIO_102024.pdf;0.2623;0.1475;0.1148;61;1098000.0;False;ESTADO
ALAGOAS;ALAGOAS_CULTURAVIVA_012025.pdf;0.25;0.0833;0.0417;24;2616000.0;False;ESTADO
ALAGOAS;ALAGOAS_CULTURAVIVA_022025.pdf;;;;2;653000.0;False;ESTADO
ALAGOAS;ALAGOAS_FOMENTO_072024.pdf;0.2564;0.0769;0.0513;39;900000.0;False;ESTADO
ALAGOAS;ALAGOAS_FOMENTO_082024.pdf;0.25;0.125;0.125;16;1100000.0;False;ESTADO
ALAGOAS;ALAGOAS_FOMENTO_092024.pdf;0.2632;0.1053;0.0702;57;400000.0;False;ESTADO
ALAGOAS;ALAGOAS_FOMENTO_102024.pdf;0.2553;0.1176;0.0588;17;200000.0;False;ESTADO
ALAGOAS;ALAGOAS_FOMENTO_112024.pdf;0.2143;0.0714;0.0714;14;200000.0;False;ESTADO
ALAGOAS;ALAGOAS_FOMENTO_122024.pdf;0.2564;0.1026;0.0769;39;900000.0;False;ESTADO
ALAGOAS;ALAGOAS_FOMENTO_132024.pdf;0.25;0.1;0.075;40;200000.0;False;ESTADO
ALAGOAS;ALAGOAS_FOMENTO_152024.pdf;0.28;0.125;0.1;50;900000.0;False;ESTADO
ALAGOAS;ALAGOAS_FOMENTO_172024.pdf;0.241;0.1084;0.0602;83;1398000.0;False;ESTADO
ALAGOAS;ALAGOAS_FOMENTO_182024.pdf;0.2571;0.1;0.0714;70;1010000.0;False;ESTADO
ALAGOAS;ALAGOAS_FOMENTO_192024.pdf;0.253;0.0964;0.0602;83;1780000.0;False;ESTADO
ALAGOAS;ALAGOAS_FOMENTO_202024.pdf;0.2667;0.1;0.0667;90;1800000.0;False;ESTADO
ALAGOAS;ALAGOAS_FOMENTO_212024.pdf;0.241;0.1084;0.0964;83;1039700.0;False;ESTADO
ALAGOAS;ALAGOAS_FOMENTO_232024.pdf;0.2407;0.0926;0.0556;54;2000000.0;False;ESTADO
ALAGOAS;ALAGOAS_FOMENTO_242024.pdf;0.2485;0.097;0.0424;165;2300000.0;False;ESTADO
ALAGOAS;ALAGOAS_FOMENTO_252024.pdf;0.2545;0.0909;0.0545;55;1000000.0;False;ESTADO
ALAGOAS;ALAGOAS_FOMENTO_262024.pdf;0.2353;0.0882;0.0588;34;1000000.0;False;ESTADO
ALAGOAS;ALAGOAS_FOMENTO_272024.pdf;0.2535;0.0986;0.0423;71;1200000.0;False;ESTADO
ALAGOAS;ALAGOAS_PRÊMIO_062024.pdf;0.26;0.1;0.06;50;300000.0;False;ESTADO
ALAGOAS;ALAGOAS_PRÊMIO_162024.pdf;0.25;0.1;0.05;20;300000.0;False;ESTADO
ALAGOAS;ALAGOAS_PRÊMIO_222024.pdf;0.3077;0.1538;0.0769;52;260000.0;False;ESTADO
ALAGOAS;ALAGOAS_SUBSÍDIO_302024.pdf;0.25;0.1;0.05;60;2160000.0;False;ESTADO
AMAPÁ;AMAPÁ_CULTURAVIVA_062024.pdf;0.25;0.1;0.05;22;2116800.0;False;ESTADO
AMAPÁ;AMAPÁ_FOMENTO_012024.pdf;0.2571;0.1143;0.0857;35;2400000.0;False;ESTADO
AMAPÁ;AMAPÁ_FOMENTO_022024.pdf;0.25;0.1;0.05;35;1050000.0;False;ESTADO
AMAPÁ;AMAPÁ_FOMENTO_032024.pdf;0.25;0.1;0.05;410;8200000.0;False;ESTADO
AMAPÁ;AMAPÁ_FOMENTO_042024.pdf;0.25;0.1;0.05;20;400000.0;False;ESTADO
AMAPÁ;AMAPÁ_SUBSÍDIO_052024.pdf;0.25;0.1;0.05;210;2100000.0;False;ESTADO
AMAZONAS;AMAZONAS_FOMENTO_022024.pdf;0.25;0.25;0.05;52;2000000.0;False;ESTADO
AMAZONAS;AMAZONAS_FOMENTO_032024.pdf;0.25;0.25;0.05;44;2000000.0;False;ESTADO
AMAZONAS;AMAZONAS_FOMENTO_042024.pdf;0.25;0.25;0.05;32;2000000.0;False;ESTADO
AMAZONAS;AMAZONAS_FOMENTO_052024.pdf;0.1905;0.1905;0.1667;42;2000000.0;False;ESTADO
AMAZONAS;AMAZONAS_FOMENTO_062024.pdf;0.25;0.25;0.05;30;2000000.0;False;ESTADO
AMAZONAS;AMAZONAS_FOMENTO_072024.pdf;0.25;0.25;0.05;42;2000000.0;False;ESTADO
AMAZONAS;AMAZONAS_FOMENTO_082024.pdf;0.25;0.25;0.05;30;1485000.0;False;ESTADO
AMAZONAS;AMAZONAS_FOMENTO_092024.pdf;0.25;0.25;0.05;38;2000000.0;False;ESTADO
AMAZONAS;AMAZONAS_FOMENTO_102024.pdf;;;0.25;44;1413000.0;False;ESTADO
AMAZONAS;AMAZONAS_FOMENTO_112024.pdf;;;0.05;40;1413000.0;False;ESTADO
AMAZONAS;AMAZONAS_FOMENTO_122024.pdf;0.25;0.25;0.05;40;1500000.0;False;ESTADO
AMAZONAS;AMAZONAS_FOMENTO_132024.pdf;0.25;0.25;0.05;106;6500000.0;False;ESTADO
BAHIA;BAHIA_BOLSA_242024.pdf;0.5;0.1;0.05;20;1200000.0;False;ESTADO
BAHIA;BAHIA_CULTURAVIVA_252024.pdf;0.5;;0.05;66;1980000.0;False;ESTADO
BAHIA;BAHIA_CULTURAVIVA_262024.pdf;0.5;0.1;0.05;74;4220000.0;False;ESTADO
BAHIA;BAHIA_CULTURAVIVA_272024.pdf;0.5;0.1;0.05;48;3840000.0;False;ESTADO
BAHIA;BAHIA_CULTURAVIVA_282024.pdf;0.5;0.1;0.05;27;1080000.0;False;ESTADO
BAHIA;BAHIA_CULTURAVIVA_292024.pdf;0.5;0.1;0.05;7;2100000.0;False;ESTADO
BAHIA;BAHIA_FOMENTO_052024.pdf;0.5;0.1;0.05;113;7250000.0;False;ESTADO
BAHIA;BAHIA_FOMENTO_062024.pdf;0.5;0.1;0.05;36;840000.0;False;ESTADO
BAHIA;BAHIA_FOMENTO_072024.pdf;0.5;0.1;0.05;12;780000.0;False;ESTADO
BAHIA;BAHIA_FOMENTO_082024.pdf;0.5;0.1;0.05;29;6900000.0;False;ESTADO
BAHIA;BAHIA_FOMENTO_092024.pdf;0.5;0.1;0.05;75;7200000.0;False;ESTADO
BAHIA;BAHIA_FOMENTO_102024.pdf;0.5;0.1;;12;3000000.0;False;ESTADO
BAHIA;BAHIA_FOMENTO_112024.pdf;0.5;0.1;;10;500000.0;False;ESTADO
BAHIA;BAHIA_FOMENTO_122024.pdf;0.5;0.1;0.05;21;1050000.0;False;ESTADO
BAHIA;BAHIA_FOMENTO_132024.pdf;0.5;0.1;;8;1200000.0;False;ESTADO
BAHIA;BAHIA_FOMENTO_142024.pdf;0.5;0.1;;5;1250000.0;False;ESTADO
BAHIA;BAHIA_FOMENTO_152024.pdf;0.5;0.1;;40;1700000.0;False;ESTADO
BAHIA;BAHIA_FOMENTO_162024.pdf;0.5;0.1;0.05;43;5150000.0;False;ESTADO
BAHIA;BAHIA_FOMENTO_172024.pdf;0.5;0.1;0.05;20;900000.0;False;ESTADO
BAHIA;BAHIA_FOMENTO_182024.pdf;0.5;0.1;0.05;35;1750000.0;False;ESTADO
BAHIA;BAHIA_FOMENTO_192024.pdf;0.5;0.1;0.05;33;1000000.0;False;ESTADO
BAHIA;BAHIA_FOMENTO_202024.pdf;0.5;0.1;0.05;12;3000000.0;False;ESTADO
BAHIA;BAHIA_PRÊMIO_012024.pdf;0.5;0.1;0.05;30;900000.0;False;ESTADO
BAHIA;BAHIA_PRÊMIO_022024.pdf;0.5;0.1;0.05;16;160000.0;False;ESTADO
BAHIA;BAHIA_PRÊMIO_032024.pdf;0.5;0.1;0.05;28;840000.0;False;ESTADO
BAHIA;BAHIA_PRÊMIO_042024.pdf;0.5;0.1071;0.0476;84;2520000.0;False;ESTADO
BAHIA;BAHIA_SUBSÍDIO_212024.pdf;0.5;0.1;0.05;20;1000000.0;False;ESTADO
BAHIA;BAHIA_SUBSÍDIO_222024.pdf;;;0.0465;86;4300000.0;False;ESTADO
BAHIA;BAHIA_SUBSÍDIO_232024.pdf;;0.1132;0.0566;53;4200000.0;False;ESTADO
CEARÁ;CEARÁ_CULTURAVIVA_07.pdf;0.25;0.1;0.1;28;1020000.0;False;ESTADO
CEARÁ;CEARÁ_CULTURAVIVA_09.pdf;0.25;0.1;0.1;38;4560000.0;False;ESTADO
CEARÁ;CEARÁ_CULTURAVIVA_10.pdf;0.25;0.1;0.1;3;1500000.0;False;ESTADO
CEARÁ;CEARÁ_CULTURAVIVA_11.pdf;0.25;0.1;0.1;20;1000000.0;False;ESTADO
CEARÁ;CEARÁ_FOMENTO_01.pdf;0.25;0.1;0.1;20;2000000.0;False;ESTADO
CEARÁ;CEARÁ_FOMENTO_02.pdf;0.25;0.1;0.1;410;15000000.0;False;ESTADO
CEARÁ;CEARÁ_FOMENTO_03.pdf;0.25;0.1;0.1;13;15000000.0;False;ESTADO
CEARÁ;CEARÁ_FOMENTO_04.pdf;0.25;0.1;0.1;114;15900000.0;False;ESTADO
CEARÁ;CEARÁ_FOMENTO_12.pdf;0.25;0.1;0.1;30;2000000.0;False;ESTADO
CEARÁ;CEARÁ_FOMENTO_13.pdf;0.25;0.1;0.1;26;2691000.0;False;ESTADO
CEARÁ;CEARÁ_FOMENTO_14.pdf;0.25;0.1;0.1;20;2400000.0;False;ESTADO
CEARÁ;CEARÁ_FOMENTO_15.pdf;0.25;0.1;0.1;50;3000000.0;False;ESTADO
CEARÁ;CEARÁ_FOMENTO_16.pdf;0.25;0.1;0.1;16;2500000.0;False;ESTADO
CEARÁ;CEARÁ_FOMENTO_17.pdf;0.25;0.1;0.1;40;14988000.0;False;ESTADO
CEARÁ;CEARÁ_PRÊMIO_05.pdf;;;;98;3000000.0;False;ESTADO
CEARÁ;CEARÁ_PRÊMIO_06.pdf;0.25;0.1;0.1;20;1000000.0;False;ESTADO
CEARÁ;CEARÁ_QUALIFICAÇÃO_08.pdf;;;;40;;False;ESTADO
CEARÁ;CEARÁ_QUALIFICAÇÃO_18.pdf;;;;184;;False;ESTADO
DISTRITO FEDERAL;DF_CULTURAVIVA_462024.pdf;0.25;0.1;0.05;20;2000000.0;False;ESTADO
DISTRITO FEDERAL;DF_CULTURAVIVA_482024.pdf;0.25;0.1;0.05;3;900000.0;False;ESTADO
DISTRITO FEDERAL;DF_CULTURAVIVA_492024.pdf;0.2683;0.0976;0.0488;82;3150000.0;False;ESTADO
DISTRITO FEDERAL;DF_FOMENTO_512024.pdf;0.2466;0.1507;0.1644;73;24456206.84;False;ESTADO
ESPÍRITO SANTO;ES_CULTURAVIVA_052024.pdf;0.25;0.1;0.05;50;2100000.0;False;ESTADO
ESPÍRITO SANTO;ES_CULTURAVIVA_062024.pdf;0.25;0.25;;4;1200000.0;False;ESTADO
ESPÍRITO SANTO;ES_CULTURAVIVA_072024.pdf;0.25;0.1;;4;480000.0;False;ESTADO
ESPÍRITO SANTO;ES_FOMENTO_022024.pdf;0.25;0.1;0.05;20;800000.0;False;ESTADO
ESPÍRITO SANTO;ES_FOMENTO_032024.pdf;0.25;0.1;0.05;56;1120000.0;False;ESTADO
ESPÍRITO SANTO;ES_FOMENTO_042024.pdf;0.25;0.1;0.05;50;2100000.0;False;ESTADO
ESPÍRITO SANTO;ES_FOMENTO_042025.pdf;0.25;0.1;0.05;10;3200000.0;False;ESTADO
ESPÍRITO SANTO;ES_FOMENTO_052024.pdf;0.25;0.1;0.05;50;2500000.0;False;ESTADO
ESPÍRITO SANTO;ES_FOMENTO_062024.pdf;0.25;0.1;0.05;14;560000.0;False;ESTADO
ESPÍRITO SANTO;ES_FOMENTO_082024.pdf;0.25;0.1;0.05;33;1700000.0;False;ESTADO
